rank_overall,rank_in_order,Common name,Order,Family,Abundance estimate,Scientific name,normalized_sci_name,species_code,sum_abundance_mean,first_abundance
98,61,Gray Catbird,Passeriformes,Mimidae (Mockingbirds and Thrashers),47471354,Dumetella carolinensis,dumetellacarolinensis,grycat,0.768,0.3126
99,62,Blue Jay,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",47457226,Cyanocitta cristata,cyanocittacristata,blujay,3.3657999999999997,0.534
100,20,Pomarine Jaeger,Charadriiformes,Stercorariidae (Skuas and Jaegers),47439504,Stercorarius pomarinus,stercorariuspomarinus,pomjae,0.0041,0.0041
101,63,Common Raven,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",47152451,Corvus corax,corvuscorax,comrav,1.465,1.465
102,64,Pine Warbler,Passeriformes,Parulidae (New World Warblers),47057414,Setophaga pinus,setophagapinus,pinwar,0.5865,0.1001
103,65,Pine Grosbeak,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",46642541,Pinicola enucleator,pinicolaenucleator,pingro,0.4308,0.0104
104,66,Boreal Chickadee,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",46066459,Poecile hudsonicus,poecilehudsonicus,borchi2,0.0716,0.0716
105,67,Northern Rough-winged Swallow,Passeriformes,Hirundinidae (Swallows),45686312,Stelgidopteryx serripennis,stelgidopteryxserripennis,nrwswa,0.5496,0.232
106,68,Carolina Wren,Passeriformes,Troglodytidae (Wrens),45096063,Thryothorus ludovicianus,thryothorusludovicianus,carwre,0.532,0.532
107,21,Western Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),43774252,Calidris mauri,calidrismauri,wessan,0.44589999999999996,0.0382
108,22,Northern Lapwing,Charadriiformes,Charadriidae (Plovers and Lapwings),43487298,Vanellus vanellus,vanellusvanellus,norlap,0,0
109,69,American Redstart,Passeriformes,Parulidae (New World Warblers),43336179,Setophaga ruticilla,setophagaruticilla,amered,0.3362,0.1115
110,23,Red-necked Stint,Charadriiformes,Scolopacidae (Sandpipers and Allies),42947992,Calidris ruficollis,calidrisruficollis,rensti,1e-4,0
111,24,Black-necked Stilt,Charadriiformes,Recurvirostridae (Stilts and Avocets),42892040,Himantopus mexicanus,himantopusmexicanus,bknsti,0.35039999999999993,0.1301
112,3,Snowy Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",42498759,Egretta thula,egrettathula,snoegr,0.262,0.0743
113,70,Eastern Meadowlark,Passeriformes,Icteridae (Troupials and Allies),42402656,Sturnella magna,sturnellamagna,easmea,0.9720000000000001,0.232
114,25,Glaucous-winged Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",42391491,Larus glaucescens,larusglaucescens,glwgul,0.6916,0.1224
115,26,Lesser Yellowlegs,Charadriiformes,Scolopacidae (Sandpipers and Allies),41592429,Tringa flavipes,tringaflavipes,lesyel,0.3058,0.0216
116,71,Hoary Redpoll,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",41585696,Acanthis hornemanni,acanthishornemanni,hoared,0.029699999999999997,0.0255
117,27,Long-tailed Jaeger,Charadriiformes,Stercorariidae (Skuas and Jaegers),40432451,Stercorarius longicaudus,stercorariuslongicaudus,lotjae,0.026,0.026
118,28,Baird's Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),40210365,Calidris bairdii,calidrisbairdii,baisan,0.0653,0
119,29,Hudsonian Godwit,Charadriiformes,Scolopacidae (Sandpipers and Allies),40153227,Limosa haemastica,limosahaemastica,hudgod,0.0126,8e-4
120,9,Long-tailed Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",39986676,Clangula hyemalis,clangulahyemalis,lotduc,0.19820000000000002,0.0331
121,4,Black-crowned Night-Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",39581806,Nycticorax nycticorax,nycticoraxnycticorax,bcnher,0.0678,0.0293
122,5,Glossy Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),39547553,Plegadis falcinellus,plegadisfalcinellus,gloibi,0.07039999999999999,0.0133
123,72,Scaly-breasted Munia,Passeriformes,Estrildidae (Waxbills and Allies),39202384,Lonchura punctulata,lonchurapunctulata,nutman,0.0035,0.0035
124,73,Spotted Towhee,Passeriformes,Passerellidae (New World Sparrows),39184608,Pipilo maculatus,pipilomaculatus,spotow,0.546,0.1507
125,74,Blackpoll Warbler,Passeriformes,Parulidae (New World Warblers),39005526,Setophaga striata,setophagastriata,bkpwar,0.1222,0.0263
126,75,Western Kingbird,Passeriformes,Tyrannidae (Tyrant Flycatchers),38791193,Tyrannus verticalis,tyrannusverticalis,weskin,0.6057,0.3294
127,2,Common Gallinule,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",38524783,Gallinula galeata,gallinulagaleata,comgal1,0.1188,0.0268
128,1,Ruby-throated Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),38146029,Archilochus colubris,archilochuscolubris,rthhum,0.29979999999999996,0.1303
129,30,Semipalmated Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),37778520,Charadrius semipalmatus,charadriussemipalmatus,semplo,0.0818,0.0135
130,76,Great-tailed Grackle,Passeriformes,Icteridae (Troupials and Allies),37019015,Quiscalus mexicanus,quiscalusmexicanus,grtgra,0.6854000000000001,0.1431
131,77,Eurasian Skylark,Passeriformes,Alaudidae (Larks),36454980,Alauda arvensis,alaudaarvensis,skylar,0.0012,3e-4
132,78,Great Kiskadee,Passeriformes,Tyrannidae (Tyrant Flycatchers),36043298,Pitangus sulphuratus,pitangussulphuratus,grekis,0.0045,0.0045
133,10,Tufted Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",35898153,Aythya fuligula,aythyafuligula,tufduc,0,0
134,79,Warbling Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",35629640,Vireo gilvus,vireogilvus,warvir,0.4986999999999999,0.2522
135,1,Red-bellied Woodpecker,Piciformes,Picidae (Woodpeckers),35486803,Melanerpes carolinus,melanerpescarolinus,rebwoo,0.4932,0.4932
136,11,Common Merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",35001347,Mergus merganser,mergusmerganser,commer,0.3177,0.0233
137,80,Tropical Kingbird,Passeriformes,Tyrannidae (Tyrant Flycatchers),34891935,Tyrannus melancholicus,tyrannusmelancholicus,trokin,6.000000000000001e-4,2e-4
138,81,Golden-crowned Sparrow,Passeriformes,Passerellidae (New World Sparrows),34418288,Zonotrichia atricapilla,zonotrichiaatricapilla,gocspa,0.2435,0.0435
139,31,Black Skimmer,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",34345427,Rynchops niger,rynchopsniger,blkski,0.07400000000000001,0.0284
140,1,Eared Grebe,Podicipediformes,Podicipedidae (Grebes),34341639,Podiceps nigricollis,podicepsnigricollis,eargre,0.492,0.137
141,32,Caspian Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",34293664,Hydroprogne caspia,hydroprognecaspia,caster1,0.0492,0.0164
142,33,Parasitic Jaeger,Charadriiformes,Stercorariidae (Skuas and Jaegers),34201376,Stercorarius parasiticus,stercorariusparasiticus,parjae,0.0131,0.0131
143,82,Blackburnian Warbler,Passeriformes,Parulidae (New World Warblers),33974706,Setophaga fusca,setophagafusca,bkbwar,0.0735,0.026
144,5,Spotted Dove,Columbiformes,Columbidae (Pigeons and Doves),33939591,Streptopelia chinensis,streptopeliachinensis,spodov,0.0034,0.0034
145,12,Blue-winged Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",33909591,Spatula discors,spatuladiscors,buwtea,1.076,0.1501
146,13,American Wigeon,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",33830766,Mareca americana,marecaamericana,amewig,1.0666,0.0865
147,34,Great Black-backed Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",33499895,Larus marinus,larusmarinus,gbbgul,0.0255,0.0255
148,83,Red Crossbill,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",33051248,Loxia curvirostra,loxiacurvirostra,redcro,0.41509999999999997,0.0997
149,84,Eastern Towhee,Passeriformes,Passerellidae (New World Sparrows),33040908,Pipilo erythrophthalmus,pipiloerythrophthalmus,eastow,0.7792,0.2151
150,85,Orchard Oriole,Passeriformes,Icteridae (Troupials and Allies),32974429,Icterus spurius,icterusspurius,orcori,0.43139999999999995,0.2274
151,35,Wilson's Phalarope,Charadriiformes,Scolopacidae (Sandpipers and Allies),32852008,Phalaropus tricolor,phalaropustricolor,wilpha,1.2784,0.7415
152,36,Sanderling,Charadriiformes,Scolopacidae (Sandpipers and Allies),32522051,Calidris alba,calidrisalba,sander,0.10300000000000001,0.0312
153,6,Ruddy Ground-Dove,Columbiformes,Columbidae (Pigeons and Doves),32374526,Columbina talpacoti,columbinatalpacoti,rugdov,0,0
154,37,Bonaparte's Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",31849163,Chroicocephalus philadelphia,chroicocephalusphiladelphia,bongul,0.1701,0.0187
155,14,Red-breasted Merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",31258494,Mergus serrator,mergusserrator,rebmer,0.15009999999999998,0.0163
156,86,Yellow-bellied Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),30776995,Empidonax flaviventris,empidonaxflaviventris,yebfly,0.0171,0.0052
157,87,Bluethroat,Passeriformes,Muscicapidae (Old World Flycatchers),30584394,Luscinia svecica,lusciniasvecica,blueth,0.0073,0.0032
158,15,Black Scoter,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",30211842,Melanitta americana,melanittaamericana,blksco2,0.1172,0.0032
159,88,Gray Kingbird,Passeriformes,Tyrannidae (Tyrant Flycatchers),30207177,Tyrannus dominicensis,tyrannusdominicensis,grykin,5e-4,3e-4
160,89,Red-breasted Nuthatch,Passeriformes,Sittidae (Nuthatches),29653605,Sitta canadensis,sittacanadensis,rebnut,0.6241,0.1323
161,38,Gull-billed Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",29635091,Gelochelidon nilotica,gelochelidonnilotica,gubter1,0.0039,0.0029
162,90,Vesper Sparrow,Passeriformes,Passerellidae (New World Sparrows),29481350,Pooecetes gramineus,pooecetesgramineus,vesspa,0.6185,0.1917
163,91,Ovenbird,Passeriformes,Parulidae (New World Warblers),29409574,Seiurus aurocapilla,seiurusaurocapilla,ovenbi1,0.2609,0.1246
164,6,Brown Pelican,Pelecaniformes,Pelecanidae (Pelicans),29369405,Pelecanus occidentalis,pelecanusoccidentalis,brnpel,0.402,0.1731
165,92,Purple Martin,Passeriformes,Hirundinidae (Swallows),28647874,Progne subis,prognesubis,purmar,0.9487000000000001,0.2343
166,93,Scissor-tailed Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),28632524,Tyrannus forficatus,tyrannusforficatus,sctfly,0.26,0.1239
167,94,Shiny Cowbird,Passeriformes,Icteridae (Troupials and Allies),28507866,Molothrus bonariensis,molothrusbonariensis,shicow,0,0
168,2,Downy Woodpecker,Piciformes,Picidae (Woodpeckers),28459924,Dryobates pubescens,dryobatespubescens,dowwoo,0.5156,0.5156
169,16,Cackling Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",27987404,Branta hutchinsii,brantahutchinsii,cacgoo1,1.5255999999999998,0.0261
170,95,Carolina Chickadee,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",27814198,Poecile carolinensis,poecilecarolinensis,carchi,0.4912,0.4912
171,17,Black-bellied Whistling-Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",27814085,Dendrocygna autumnalis,dendrocygnaautumnalis,bbwduc,0.2077,0.0699
172,96,Summer Tanager,Passeriformes,Cardinalidae (Cardinals and Allies),27509048,Piranga rubra,pirangarubra,sumtan,0.2807,0.1159
173,18,Ruddy Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",27465919,Oxyura jamaicensis,oxyurajamaicensis,rudduc,0.6591,0.0617
174,97,Swamp Sparrow,Passeriformes,Passerellidae (New World Sparrows),27350684,Melospiza georgiana,melospizageorgiana,swaspa,0.6283,0.0552
175,39,Greater Yellowlegs,Charadriiformes,Scolopacidae (Sandpipers and Allies),27196692,Tringa melanoleuca,tringamelanoleuca,greyel,0.2046,0.0049
176,40,Royal Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",27184831,Thalasseus maximus,thalasseusmaximus,royter1,0.369,0.2682
