common_name,order,family,abundance_estimate_pnas,scientific_name,normalized_sci_name,species_code,abundance_estimate_ebird,rank_overall,rank_in_order,rank_in_family,not_in_usa,top_5_in_order,top_100_birds
Black Vulture,Cathartiformes,Cathartidae (New World Vultures),73934521,Coragyps atratus,coragypsatratus,blkvul,0.5916,67,1,1,FALSE,TRUE,TRUE
Common Yellowthroat,Passeriformes,Parulidae (New World Warblers),73754462,Geothlypis trichas,geothlypistrichas,comyel,1.0843,68,45,5,FALSE,FALSE,TRUE
Eastern Phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),73428328,Sayornis phoebe,sayornisphoebe,easpho,0.8119000000000001,69,46,2,FALSE,FALSE,TRUE
Hermit Thrush,Passeriformes,Turdidae (Thrushes and Allies),73129157,Catharus guttatus,catharusguttatus,herthr,0.46040000000000003,70,47,4,FALSE,FALSE,TRUE
Cedar Waxwing,Passeriformes,Bombycillidae (Waxwings),72905406,Bombycilla cedrorum,bombycillacedrorum,cedwax,2.718,71,48,1,FALSE,FALSE,TRUE
Laughing Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",71587859,Leucophaeus atricilla,leucophaeusatricilla,laugul,0.9672999999999999,72,11,7,FALSE,FALSE,TRUE
Turkey Vulture,Cathartiformes,Cathartidae (New World Vultures),70786507,Cathartes aura,cathartesaura,turvul,4.1744,73,2,2,FALSE,TRUE,TRUE
Gray-cheeked Thrush,Passeriformes,Turdidae (Thrushes and Allies),70534687,Catharus minimus,catharusminimus,gycthr,0.1139,74,49,5,FALSE,FALSE,TRUE
Black-throated Sparrow,Passeriformes,Passerellidae (New World Sparrows),70333300,Amphispiza bilineata,amphispizabilineata,bktspa,0.3423,75,50,8,FALSE,FALSE,TRUE
Wilson's Warbler,Passeriformes,Parulidae (New World Warblers),63781688,Cardellina pusilla,cardellinapusilla,wlswar,0.48710000000000003,76,51,6,FALSE,FALSE,TRUE
Blue Grosbeak,Passeriformes,Cardinalidae (Cardinals and Allies),63575766,Passerina caerulea,passerinacaerulea,blugrb1,0.3734,77,52,3,FALSE,FALSE,TRUE
Red Knot,Charadriiformes,Scolopacidae (Sandpipers and Allies),62640390,Calidris canutus,calidriscanutus,redkno,0.023100000000000002,78,12,5,FALSE,FALSE,TRUE
Clay-colored Sparrow,Passeriformes,Passerellidae (New World Sparrows),62584333,Spizella pallida,spizellapallida,clcspa,0.308,79,53,9,FALSE,FALSE,TRUE
Eastern Bluebird,Passeriformes,Turdidae (Thrushes and Allies),60548459,Sialia sialis,sialiasialis,easblu,1.7654,80,54,6,FALSE,FALSE,TRUE
Common Myna,Passeriformes,Sturnidae (Starlings),59142818,Acridotheres tristis,acridotherestristis,commyn,0.0072,81,55,2,FALSE,FALSE,TRUE
Prairie Warbler,Passeriformes,Parulidae (New World Warblers),59013734,Setophaga discolor,setophagadiscolor,prawar,0.1124,82,56,7,FALSE,FALSE,TRUE
American Coot,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",58912804,Fulica americana,fulicaamericana,y00475,3.8284000000000002,83,1,1,FALSE,TRUE,TRUE
Ruddy Turnstone,Charadriiformes,Scolopacidae (Sandpipers and Allies),57976203,Arenaria interpres,arenariainterpres,rudtur,0.0432,85,14,6,FALSE,FALSE,TRUE
Great Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",57358864,Ardea alba,ardeaalba,greegr,0.7893,86,2,2,FALSE,TRUE,TRUE
Green-winged Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",56760899,Anas crecca,anascrecca,gnwtea,1.6885,87,7,7,FALSE,FALSE,TRUE
Pacific Golden-Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),54842893,Pluvialis fulva,pluvialisfulva,pagplo,0.0132,88,15,1,FALSE,FALSE,TRUE
Eastern Kingbird,Passeriformes,Tyrannidae (Tyrant Flycatchers),54090449,Tyrannus tyrannus,tyrannustyrannus,easkin,0.7825,89,57,3,FALSE,FALSE,TRUE
Least Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),52765802,Calidris minutilla,calidrisminutilla,leasan,0.5670000000000001,90,16,7,FALSE,FALSE,TRUE
Black-bellied Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),52525654,Pluvialis squatarola,pluvialissquatarola,bkbplo,0.08360000000000001,91,17,2,FALSE,FALSE,TRUE
Whimbrel,Charadriiformes,Scolopacidae (Sandpipers and Allies),52205963,Numenius phaeopus,numeniusphaeopus,whimbr,0.0692,93,18,8,FALSE,FALSE,TRUE
Northern Parula,Passeriformes,Parulidae (New World Warblers),49962873,Setophaga americana,setophagaamericana,norpar,0.28590000000000004,94,58,8,FALSE,FALSE,TRUE
Bank Swallow,Passeriformes,Hirundinidae (Swallows),49357199,Riparia riparia,ripariariparia,banswa,0.48929999999999996,95,59,3,FALSE,FALSE,TRUE
Pectoral Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),49292095,Calidris melanotos,calidrismelanotos,pecsan,0.27690000000000003,96,19,9,FALSE,FALSE,TRUE
Eurasian Tree Sparrow,Passeriformes,Passeridae (Old World Sparrows),47643490,Passer montanus,passermontanus,eutspa,0.0047,97,60,2,FALSE,FALSE,TRUE
Gray Catbird,Passeriformes,Mimidae (Mockingbirds and Thrashers),47471354,Dumetella carolinensis,dumetellacarolinensis,grycat,0.768,98,61,2,FALSE,FALSE,TRUE
Blue Jay,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",47457226,Cyanocitta cristata,cyanocittacristata,blujay,3.3657999999999997,99,62,2,FALSE,FALSE,TRUE
Snowy Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",42498759,Egretta thula,egrettathula,snoegr,0.262,112,3,3,FALSE,TRUE,FALSE
Black-crowned Night-Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",39581806,Nycticorax nycticorax,nycticoraxnycticorax,bcnher,0.0678,121,4,4,FALSE,TRUE,FALSE
Glossy Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),39547553,Plegadis falcinellus,plegadisfalcinellus,gloibi,0.07039999999999999,122,5,1,FALSE,TRUE,FALSE
Common Gallinule,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",38524783,Gallinula galeata,gallinulagaleata,comgal1,0.1188,127,2,2,FALSE,TRUE,FALSE
Ruby-throated Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),38146029,Archilochus colubris,archilochuscolubris,rthhum,0.29979999999999996,128,1,1,FALSE,TRUE,FALSE
Red-bellied Woodpecker,Piciformes,Picidae (Woodpeckers),35486803,Melanerpes carolinus,melanerpescarolinus,rebwoo,0.4932,135,1,1,FALSE,TRUE,FALSE
Eared Grebe,Podicipediformes,Podicipedidae (Grebes),34341639,Podiceps nigricollis,podicepsnigricollis,eargre,0.492,140,1,1,FALSE,TRUE,FALSE
Downy Woodpecker,Piciformes,Picidae (Woodpeckers),28459924,Dryobates pubescens,dryobatespubescens,dowwoo,0.5156,168,2,2,FALSE,TRUE,FALSE
Magnificent Frigatebird,Suliformes,Fregatidae (Frigatebirds),26183427,Fregata magnificens,fregatamagnificens,magfri,0.0068000000000000005,181,1,1,FALSE,TRUE,FALSE
Broad-winged Hawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",25187241,Buteo platypterus,buteoplatypterus,brwhaw,0.1913,188,1,1,FALSE,TRUE,FALSE
Willow Ptarmigan,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",23709644,Lagopus lagopus,lagopuslagopus,wilpta,0.0262,199,2,2,FALSE,TRUE,FALSE
Red-throated Loon,Gaviiformes,Gaviidae (Loons),23610546,Gavia stellata,gaviastellata,retloo,0.0348,201,1,1,FALSE,TRUE,FALSE
Red-necked Grebe,Podicipediformes,Podicipedidae (Grebes),23110387,Podiceps grisegena,podicepsgrisegena,rengre,0.0189,206,2,2,FALSE,TRUE,FALSE
Northern Flicker,Piciformes,Picidae (Woodpeckers),20923123,Colaptes auratus,colaptesauratus,norfli,1.8814,218,3,3,FALSE,TRUE,FALSE
Anna's Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),20616809,Calypte anna,calypteanna,annhum,0.09770000000000001,220,2,2,FALSE,TRUE,FALSE
American Kestrel,Falconiformes,Falconidae (Falcons and Caracaras),18475897,Falco sparverius,falcosparverius,amekes,0.6492,236,1,1,FALSE,TRUE,FALSE
Sandhill Crane,Gruiformes,Gruidae (Cranes),17295706,Antigone canadensis,antigonecanadensis,sancra,7.337899999999999,243,3,1,FALSE,TRUE,FALSE
Chimney Swift,Caprimulgiformes,Apodidae (Swifts),17068138,Chaetura pelagica,chaeturapelagica,chiswi,0.4506,245,3,1,FALSE,TRUE,FALSE
Pied-billed Grebe,Podicipediformes,Podicipedidae (Grebes),17024025,Podilymbus podiceps,podilymbuspodiceps,pibgre,0.1701,246,3,3,FALSE,TRUE,FALSE
Hairy Woodpecker,Piciformes,Picidae (Woodpeckers),16835765,Dryobates villosus,dryobatesvillosus,haiwoo,0.2664,251,4,4,FALSE,TRUE,FALSE
Rufous Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),16372838,Selasphorus rufus,selasphorusrufus,rufhum,0.048100000000000004,254,4,3,FALSE,TRUE,FALSE
Short-eared Owl,Strigiformes,Strigidae (Owls),15555269,Asio flammeus,asioflammeus,sheowl,0.0538,260,1,1,FALSE,TRUE,FALSE
Yellow-bellied Sapsucker,Piciformes,Picidae (Woodpeckers),15246450,Sphyrapicus varius,sphyrapicusvarius,yebsap,0.26689999999999997,262,5,5,FALSE,TRUE,FALSE
Horned Grebe,Podicipediformes,Podicipedidae (Grebes),13922298,Podiceps auritus,podicepsauritus,horgre,0.0453,272,4,4,FALSE,TRUE,FALSE
Wood Stork,Ciconiiformes,Ciconiidae (Storks),13602379,Mycteria americana,mycteriaamericana,woosto,0.1225,277,1,1,FALSE,TRUE,FALSE
Great Horned Owl,Strigiformes,Strigidae (Owls),13153941,Bubo virginianus,bubovirginianus,grhowl,0.2786,281,2,2,FALSE,TRUE,FALSE
Yellow-billed Cuckoo,Cuculiformes,Cuculidae (Cuckoos),13010576,Coccyzus americanus,coccyzusamericanus,yebcuc,0.3597,284,2,2,FALSE,TRUE,FALSE
Allen's Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),12995161,Selasphorus sasin,selasphorussasin,allhum,0.0073,285,5,4,FALSE,TRUE,FALSE
Burrowing Owl,Strigiformes,Strigidae (Owls),11573159,Athene cunicularia,athenecunicularia,burowl,0.044700000000000004,300,3,3,FALSE,TRUE,FALSE
Pacific Loon,Gaviiformes,Gaviidae (Loons),11177564,Gavia pacifica,gaviapacifica,pacloo,0.07469999999999999,304,2,2,FALSE,TRUE,FALSE
Western Grebe,Podicipediformes,Podicipedidae (Grebes),10756924,Aechmophorus occidentalis,aechmophorusoccidentalis,wesgre,0.0891,310,5,5,FALSE,TRUE,FALSE
California Quail,Galliformes,Odontophoridae (New World Quail),10265045,Callipepla californica,callipeplacalifornica,calqua,0.1538,316,3,1,FALSE,TRUE,FALSE
Chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",10163105,Alectoris chukar,alectorischukar,chukar,0.0218,319,4,3,FALSE,TRUE,FALSE
Common Loon,Gaviiformes,Gaviidae (Loons),9682105,Gavia immer,gaviaimmer,comloo,0.08689999999999999,324,3,3,FALSE,TRUE,FALSE
Bald Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",9140160,Haliaeetus leucocephalus,haliaeetusleucocephalus,baleag,0.4637,336,3,3,FALSE,TRUE,FALSE
Peregrine Falcon,Falconiformes,Falconidae (Falcons and Caracaras),8922996,Falco peregrinus,falcoperegrinus,perfal,0.0182,340,2,2,FALSE,TRUE,FALSE
Red-tailed Hawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",8074880,Buteo jamaicensis,buteojamaicensis,rethaw,1.5722999999999998,348,4,4,FALSE,TRUE,FALSE
Southern Caracara,Falconiformes,Falconidae (Falcons and Caracaras),7964178,Caracara plancus,caracaraplancus,y00678,0.0271,352,3,3,FALSE,TRUE,FALSE
Purple Gallinule,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",7016619,Porphyrio martinica,porphyriomartinica,purgal2,0.0046,358,5,4,FALSE,TRUE,FALSE
Rock Ptarmigan,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",6439782,Lagopus muta,lagopusmuta,rocpta1,0.0302,368,5,4,FALSE,TRUE,FALSE
Red-shouldered Hawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",5882135,Buteo lineatus,buteolineatus,reshaw,0.42039999999999994,381,5,5,FALSE,TRUE,FALSE
Anhinga,Suliformes,Anhingidae (Anhingas),5806595,Anhinga anhinga,anhingaanhinga,anhing,0.0993,383,3,1,FALSE,TRUE,FALSE
Snowy Owl,Strigiformes,Strigidae (Owls),5488581,Bubo scandiacus,buboscandiacus,snoowl1,0.005,390,4,4,FALSE,TRUE,FALSE
Merlin,Falconiformes,Falconidae (Falcons and Caracaras),4593576,Falco columbarius,falcocolumbarius,merlin,0.0637,410,4,4,FALSE,TRUE,FALSE
Belted Kingfisher,Coraciiformes,Alcedinidae (Kingfishers),3699839,Megaceryle alcyon,megacerylealcyon,belkin1,0.2199,432,3,3,FALSE,TRUE,FALSE
Black-billed Cuckoo,Cuculiformes,Cuculidae (Cuckoos),1040875,Coccyzus erythropthalmus,coccyzuserythropthalmus,bkbcuc,0.0315,540,5,5,FALSE,TRUE,FALSE
